mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,chroma_mean,spectral_centroid,spectral_bandwidth,spectral_rolloff,zero_crossing_rate,rms_energy,type,interval_start,interval_end,file_name
-365.97595,110.12547,-4.301288,16.704117,-4.893896,4.4152627,-9.928905,-9.858326,-16.188505,-9.202746,-5.6183496,-10.811976,-1.4092962,-4.7051935,-5.8465304,-5.209285,-3.0770624,-4.9407034,-5.215917,-6.665788,0.35358593,2712.7195089148317,3244.6616444669385,5319.568214514066,0.06587051430626599,0.06252668,FAKE,0.0,10.0,Obama-to-Biden.wav
-414.55148,103.69753,-15.810734,4.5449777,-8.61876,-7.794304,-10.259885,-2.8963177,-2.937559,0.6194152,1.2539238,-0.89936316,-0.06565469,-2.5399497,-0.2997657,-1.3821901,-0.3933664,-2.9330325,-3.3872688,-3.3251934,0.41446248,3216.581560183942,3514.5038880439656,6216.806865409208,0.08724499480498721,0.02332417,FAKE,10.0,20.0,Obama-to-Biden.wav
-388.84286,92.40876,-5.920343,10.819398,-7.57598,-0.7293053,-7.9529986,-5.4451957,-5.5727916,-4.3372083,-3.9958715,-8.915232,-3.14271,-1.5437248,-1.8048524,-3.4023209,-3.078719,-3.548619,-3.5554998,-4.4289756,0.3680121,3123.0897721159913,3519.55085368213,6032.833479859335,0.08174714773817135,0.049070846,FAKE,20.0,30.0,Obama-to-Biden.wav
-360.90314,99.54235,-3.7995222,23.942055,-5.296017,8.78476,-8.464351,-10.055242,-16.837437,-11.48551,-5.5296683,-8.606001,-1.7103443,-4.3977056,-4.8438625,-5.22518,-2.3135319,-3.2371414,-3.0832438,-6.821598,0.34469643,3065.4376764388035,3360.4517843029616,5962.650855179028,0.07788273257672634,0.06570639,FAKE,30.0,40.0,Obama-to-Biden.wav
-379.40466,101.72056,3.1550655,27.699104,-2.9439554,2.8473513,-13.049712,-7.6663713,-12.45516,-9.6963005,-7.111795,-11.963525,-3.0246308,-4.3597517,-4.76863,-4.792866,-2.417539,-5.5709496,-5.471413,-6.721411,0.32809755,2867.7742054977994,3506.868728623376,5836.921555306905,0.05999303168957801,0.06367768,FAKE,40.0,50.0,Obama-to-Biden.wav
-320.0098,135.80186,-44.00219,-14.074211,-22.51749,-18.701221,-15.132222,-1.4399927,-4.183439,-0.6230302,-0.5927528,-3.5080574,-3.614421,-4.4944816,0.43426812,-3.1136088,-3.1702979,-6.064718,-4.120831,-5.0234876,0.41540152,2083.8689867469384,2419.716353224194,3520.3704443734014,0.058815412204283886,0.051996343,FAKE,50.0,60.0,Obama-to-Biden.wav
-455.78302,108.35539,-17.664444,2.2227743,-1.1440492,3.5783584,-5.6352196,-3.5764136,-3.4987872,0.29302168,1.0734466,-2.8273082,-0.42123234,-1.9375465,-2.2401211,-3.643455,-1.2107124,-3.0434911,-1.4568486,-1.8154619,0.43280455,3110.4711296492424,3751.5624951349723,6188.209319053708,0.07686870604219949,0.014342891,FAKE,60.0,70.0,Obama-to-Biden.wav
-416.34723,96.942955,6.4960775,17.395164,-5.8780627,1.2836924,-11.232864,-6.067526,-7.6716714,-4.8826165,-3.050941,-8.463003,0.03864618,-2.6218703,-4.30113,-2.3273494,-2.0634224,-5.818225,-3.7854087,-5.099034,0.4080117,2946.36201194964,3757.212009650077,6166.530131074169,0.05654321851023018,0.039580226,FAKE,70.0,80.0,Obama-to-Biden.wav
-385.99768,102.22556,-5.708072,11.984907,-9.214478,-0.14228942,-13.2227335,-7.960829,-11.558427,-8.074385,-2.0792043,-7.9492292,-1.6992354,-2.6113274,-4.6147404,-3.125581,-2.787653,-6.7975364,-3.357683,-5.271352,0.37427524,2858.1060969788628,3376.5192034022034,5568.928828324808,0.07071586277173914,0.04131968,FAKE,80.0,90.0,Obama-to-Biden.wav
-412.06158,138.73843,-60.248726,-13.48254,-17.12794,-23.061182,-8.813036,0.67228085,7.9358134,-0.44403124,-1.3680485,-1.6993923,-1.3336881,2.4410086,3.046772,2.7048938,0.54920787,-3.5912561,-5.0472436,-3.859167,0.45204568,2442.246424106354,2691.241964982997,4282.039242327366,0.07379665521099744,0.011625707,FAKE,90.0,100.0,Obama-to-Biden.wav
-379.11917,107.962006,-30.561525,-19.403395,-14.838766,-8.097042,-9.208063,0.6861683,-3.7959416,-5.084694,-0.2747785,-3.6033828,-1.3039678,-2.6531162,-0.62824327,1.2784232,0.2298893,-3.9761167,-3.3737867,-2.1394904,0.3701388,2397.848405489259,2802.100553387951,4185.781649616369,0.06306508252078005,0.03218835,FAKE,100.0,110.0,Obama-to-Biden.wav
-417.08173,102.70772,-9.79529,4.3627653,-5.130837,-2.6902156,-10.128676,1.5496292,-3.8766837,-11.908046,-6.03698,-5.7475767,-1.4864663,-2.650129,-1.2668158,-0.40861356,-2.6153355,-4.4760165,-1.0549674,-0.4451895,0.3589073,2762.9785998954885,3332.5079393946553,5125.729299872123,0.07374420556265984,0.032878798,FAKE,110.0,120.0,Obama-to-Biden.wav
-416.43677,122.24781,-33.216946,-14.86237,-13.564405,-18.222292,-8.665337,1.2604513,0.5180255,-1.5369284,1.6487267,2.0153542,-0.07111704,-1.5678967,-0.9673886,-0.5658652,0.022594403,-1.934467,-1.6409068,-1.8255478,0.4801156,2660.284625500707,3088.6143817748716,5017.832880434783,0.07220880454763427,0.013174065,FAKE,120.0,130.0,Obama-to-Biden.wav
