mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,chroma_mean,spectral_centroid,spectral_bandwidth,spectral_rolloff,zero_crossing_rate,rms_energy,type,interval_start,interval_end,file_name
-430.96198,75.39956,-3.0018876,13.146255,1.1613832,3.9317975,-7.967354,-7.9095483,-7.627896,-3.3229263,-0.7043839,-2.0987043,2.1498966,-2.1305566,-2.8858397,-0.3861585,1.0617936,-1.3735489,-2.4209936,-2.1035862,0.4914099,3959.047436986895,4190.450130972594,8356.216755319148,0.10602144281914894,0.032462116,FAKE,0.0,3.0,Obama-to-Biden.wav
-326.3062,121.91739,-13.997613,13.54711,-9.201951,8.335483,-13.63699,-12.711861,-22.030478,-12.80934,-4.5865374,-12.315434,-2.8012092,-5.898829,-8.396418,-8.042734,-2.5069964,-4.882385,-5.1331015,-8.544214,0.28511158,2317.1014541044156,2892.806531827573,4462.01795212766,0.05289852061170213,0.100723065,FAKE,2.5,5.5,Obama-to-Biden.wav
-346.38602,135.86874,2.7271416,14.41491,-15.209901,-2.0789495,-12.619627,-7.6564364,-17.677715,-11.49584,-8.259892,-13.9137945,-2.587409,-5.1633716,-5.3452396,-7.708305,-5.953434,-7.8963575,-7.4107723,-7.3452,0.2863872,1973.1972092055653,2785.42913570897,3542.6363031914893,0.04085355718085106,0.07073001,FAKE,5.0,8.0,Obama-to-Biden.wav
-387.38977,107.958824,-8.465276,28.399693,-0.004497252,13.027747,-6.812377,-10.034752,-16.793585,-7.6290746,-7.0795617,-12.341714,-1.634689,-4.8936415,-3.4416876,-4.463678,-2.0107238,-3.9113562,-5.198286,-7.82741,0.35670385,3033.683234322533,3353.9141196327523,5731.88164893617,0.08259433178191489,0.039872315,FAKE,7.5,10.5,Obama-to-Biden.wav
-448.55438,72.553535,-10.2213335,18.935833,-4.5170226,5.1288867,-7.829825,-5.673175,-6.480255,5.3862305,1.9214524,-0.47838953,3.7398417,-3.0703154,0.5908072,0.7258716,2.5021589,-1.5906768,0.40512887,-0.8315036,0.38998365,4502.401780318403,4308.527015308856,9059.840425531915,0.13499418218085107,0.017550584,FAKE,10.0,13.0,Obama-to-Biden.wav
-397.97247,104.119965,2.0639236,30.132402,3.0628293,10.657134,-13.480622,-8.161103,-12.2942095,-8.953033,-5.245729,-9.841267,-3.5474136,-4.5372276,-3.2495115,-6.1932607,-3.3425071,-5.199595,-4.012618,-5.1054573,0.38473877,3132.1996650738392,3597.637822710867,6156.58244680851,0.07686377992021276,0.046381056,FAKE,12.5,15.5,Obama-to-Biden.wav
-428.24954,110.950745,0.6100077,7.139443,-15.960647,-20.403881,-12.444417,2.1916885,3.4788308,-2.5744326,-2.349493,1.3758628,0.53394985,-3.7758353,-1.5682282,-0.53541,0.48842764,-3.2005835,-4.629782,-2.5932326,0.41570994,2943.094065609805,3515.6588341504525,5757.8125,0.07089012632978724,0.020189641,FAKE,15.0,18.0,Obama-to-Biden.wav
-388.95465,155.86806,-83.313614,-21.890162,-35.95934,-23.251741,-13.970005,2.0995302,9.717695,4.0211844,16.137419,1.149381,7.902161,-3.9775007,7.69525,-5.7519474,1.484673,-3.2113647,-4.7752895,-2.583853,0.46681297,2176.648333186786,2473.3245844704275,3564.3284574468084,0.06367603058510639,0.010296955,FAKE,17.5,20.5,Obama-to-Biden.wav
-420.00372,98.65855,-28.093046,-10.39155,-6.058892,-8.7004595,-8.738866,1.0160333,5.902946,5.4984903,2.246979,-1.3951559,-0.092808306,1.1317564,0.16535217,-4.7061906,-3.611042,-1.7466036,-2.1660712,-2.4252431,0.413789,3052.3431513036157,3529.8891371166496,5616.10704787234,0.08531416223404255,0.021263082,FAKE,20.0,23.0,Obama-to-Biden.wav
-356.12708,104.34506,2.0238457,26.654568,-6.3230896,4.542752,-14.395357,-13.790185,-13.686663,-9.866074,-4.6876507,-10.573352,-4.8776274,-4.344251,-4.4993715,-5.4885464,-3.11449,-4.139058,-3.9916627,-6.940012,0.3529363,2809.436771456824,3303.2721847558178,5457.945478723404,0.06541722074468086,0.078176744,FAKE,22.5,25.5,Obama-to-Biden.wav
-444.89236,63.667496,3.9878535,14.086285,-10.611895,-3.9837427,1.3227832,2.1088724,2.1949086,-1.6558698,-7.4821625,-6.4855237,-1.1801293,2.024594,4.693742,3.0691996,-0.4703521,-2.4474142,-2.8175197,-2.0308447,0.4240357,4426.456204291504,4316.994498540006,8901.429521276596,0.12547373670212766,0.019051664,FAKE,25.0,28.0,Obama-to-Biden.wav
-315.12735,122.62834,-4.799721,25.77873,-12.730388,5.3351116,-13.204598,-14.188224,-19.721254,-16.992651,-9.312002,-15.133017,-7.200459,-7.52513,-8.10361,-9.1524,-5.9030957,-5.853082,-6.752292,-9.947796,0.26987094,2051.6261405292544,2649.626741618498,3569.564494680851,0.05030959109042553,0.09913968,FAKE,27.5,30.5,Obama-to-Biden.wav
-373.30646,99.48793,-4.503407,18.611124,-7.121666,7.927312,-7.0821443,-9.935171,-17.101334,-12.4043,-5.2475047,-4.786537,-1.3011495,-3.3753312,-2.775836,-4.7205453,-1.612472,-3.6914122,-3.061422,-5.8610168,0.349576,3203.943269302825,3468.391762516194,6287.150930851064,0.0838389295212766,0.059692018,FAKE,30.0,33.0,Obama-to-Biden.wav
-359.77686,99.6562,-2.1883795,24.908731,-9.916992,4.1135206,-11.810786,-7.9525337,-10.854302,-11.683959,-7.887191,-7.72457,-1.2594376,-4.9905553,-5.2251406,-7.693623,-3.843283,-2.7161074,-3.4849133,-6.5773854,0.33660337,3035.2260875009033,3344.389535729605,5765.29255319149,0.07766580784574469,0.07856721,FAKE,32.5,35.5,Obama-to-Biden.wav
-395.08032,88.158936,-2.7255423,28.727552,-2.4614325,12.711881,-5.0798435,-8.477585,-16.838179,-7.9843926,-2.5382164,-7.608104,-0.2213153,-3.0664628,-3.6727333,-3.5730815,-0.3430002,-2.3521857,-1.7098187,-5.938142,0.3789912,3637.840776154174,3870.630392663811,7545.711436170212,0.08805684840425532,0.051715624,FAKE,35.0,38.0,Obama-to-Biden.wav
-310.79755,121.46338,-18.984005,28.238111,-9.0553875,12.775197,-14.498207,-9.676335,-20.993584,-9.124337,-4.2637615,-14.164977,-2.1608922,-6.4605303,-7.1136403,-8.094941,-2.838286,-6.2192287,-4.839967,-9.321545,0.32554975,2552.8783023966557,2770.0607075200583,4522.772606382979,0.07085688164893617,0.07482867,FAKE,37.5,40.5,Obama-to-Biden.wav
-500.275,77.48555,27.703497,27.956226,5.6776657,3.765532,-4.493321,-4.0978713,-6.2702994,-5.191238,-3.416039,-3.9046228,-0.64940524,-1.5910872,-1.1435503,-2.2301025,-1.0021397,-3.14268,-5.182833,-3.836892,0.39317614,4011.1518060766293,4860.977252883718,9180.01994680851,0.07444938497340425,0.019612348,FAKE,40.0,43.0,Obama-to-Biden.wav
-373.76016,99.415276,0.042466443,37.059002,-3.8990712,-4.1992083,-14.085983,-6.0019875,-11.78755,-8.920761,-9.65388,-15.063913,0.65087295,-4.1465917,-8.429004,-5.201485,-2.151483,-6.4592586,-6.977805,-6.839064,0.30682448,2883.202297513585,3400.213043523477,5813.996010638298,0.061278257978723404,0.06343372,FAKE,42.5,45.5,Obama-to-Biden.wav
-358.74814,106.93409,2.1229982,33.631817,-5.000215,3.9157743,-16.271626,-9.352024,-11.864133,-11.159745,-7.8529825,-10.411804,-6.8806133,-5.6711197,-3.3487072,-4.9766974,-1.5874848,-6.031087,-2.8639257,-6.85246,0.32347807,2666.7548699329445,3113.256551544137,4887.882313829788,0.0663792386968085,0.061094858,FAKE,45.0,48.0,Obama-to-Biden.wav
-342.24307,122.7857,-6.010956,14.062873,-5.969106,10.238121,-15.658078,-10.3839245,-19.173891,-13.028282,-5.62469,-15.313621,-6.9781666,-5.399212,-3.8014042,-6.099286,-4.1588326,-5.3268948,-4.726688,-7.189001,0.28306592,2260.550065267558,3114.332901152941,4398.520611702128,0.04092627992021276,0.08766074,FAKE,47.5,50.5,Obama-to-Biden.wav
-283.2551,133.89731,-19.033316,23.908382,-21.323334,-0.4461877,-22.451471,-9.59407,-18.333605,-9.4950075,-4.9217057,-14.088521,-6.0697155,-7.0351663,-5.5193357,-9.905238,-4.075145,-8.001663,-5.388406,-7.9620414,0.29020923,2069.7368074990104,2627.5858496072956,3538.896276595745,0.04922706117021276,0.115708254,FAKE,50.0,53.0,Obama-to-Biden.wav
-289.494,139.47856,-41.956398,0.683093,-25.93165,-14.653569,-16.540543,2.0942848,-2.237893,-2.3286412,-6.6165876,-3.3021958,-2.2013397,-9.60488,-1.9427663,-5.3370247,-3.2301893,-9.844351,-6.7672644,-5.250779,0.4183583,2204.8531823767266,2506.9493672863887,3906.083776595745,0.06136760305851064,0.057748806,FAKE,52.5,55.5,Obama-to-Biden.wav
