mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,chroma_mean,spectral_centroid,spectral_bandwidth,spectral_rolloff,zero_crossing_rate,rms_energy,type,interval_start,interval_end,file_name
-325.0365,187.04695,-71.37298,-9.265757,-31.319654,-3.3997567,-19.216036,-8.700628,2.24752,-16.44725,3.5290148,-0.4859166,3.334496,-10.174186,-6.5509243,-0.7418407,-11.772379,-5.7289367,-3.909227,-4.755837,0.37647554,2074.627532946708,2295.730163449955,3413.065159574468,0.05751502936613475,0.037606657,REAL,0.0,3.0,biden-original.wav
-275.64435,204.6142,-93.97364,-17.115658,-42.185173,-13.817419,-21.46225,-10.649525,4.1971364,-10.300164,9.314537,-0.6146312,3.5092912,-5.6736536,-1.4495282,2.3188303,-11.143691,-5.046899,-6.9359527,-1.5369242,0.45819342,1831.3544131059411,1929.2302076235262,2918.716755319149,0.04948262965425532,0.050786935,REAL,2.5,5.5,biden-original.wav
-298.28308,186.35257,-48.165844,-7.5648184,-17.634605,7.2363634,-24.583096,-12.57655,1.7791132,-15.904448,-0.83646566,-7.879824,-3.4013224,-12.160847,-8.974809,-2.4287393,-11.350205,-8.288396,-5.0976677,-5.9578457,0.3784747,1795.1482312865392,2261.092604696884,2901.5126329787236,0.04190041832890071,0.055061996,REAL,5.0,8.0,biden-original.wav
-274.459,183.68117,-79.961334,-13.267234,-35.279705,-4.92925,-18.827053,-9.917701,-0.40397552,-15.709473,1.2197284,-2.3937871,2.5289059,-5.4437065,-1.8962848,-1.8904756,-10.05137,-6.8658204,-4.049476,-2.689924,0.4192939,2104.4412060579552,2141.973436666169,3331.781914893617,0.05934521830673759,0.053254697,REAL,7.5,10.5,biden-original.wav
-250.15062,184.87341,-87.21566,-10.285039,-39.382282,-7.264363,-27.010677,-4.4618917,1.8070618,-9.041565,5.153987,-7.541478,5.8924513,-6.000425,2.2481475,-2.0925646,-8.600362,-4.4159236,-7.526383,0.5346392,0.4552108,2131.5825499832386,2189.2354654729484,3398.936170212766,0.05963091478280142,0.056799922,REAL,10.0,13.0,biden-original.wav
-299.76013,186.102,-56.053047,-3.78839,-28.292618,5.7212195,-14.330078,-1.6155703,-0.17542012,-18.869724,0.064329,-12.086277,-2.6438622,-6.452817,-6.462329,-7.418877,-13.424431,-6.733935,-4.585529,-3.4922643,0.3362466,1986.9661233661848,2360.6972514196077,3141.5392287234044,0.052410585660460994,0.052458093,REAL,12.5,15.5,biden-original.wav
-295.62943,191.94025,-50.063873,-14.677246,-27.013397,0.5205158,-12.018569,-1.5448638,-2.6016102,-19.159935,0.6257733,-5.833995,-3.2048213,-2.1040924,1.2465205,-5.359347,-17.808676,-10.441759,-2.0251265,-8.913142,0.3121242,1840.6849132571572,2200.392045154049,2875.6648936170213,0.04802644337322695,0.053042457,REAL,15.0,18.0,biden-original.wav
-288.35712,186.1889,-41.75401,3.6832733,-26.496506,11.037279,-10.598028,-4.3257027,-4.130919,-22.363338,-1.7040142,-7.581028,-6.69211,-12.7172575,-3.0113306,-10.2105875,-17.27752,-6.4524126,-3.4811063,-4.6047897,0.33355942,1884.417014458646,2380.157408885927,3175.615026595745,0.04229519891400709,0.063405655,REAL,17.5,20.5,biden-original.wav
-340.96558,185.99936,-44.18936,-11.621627,-28.61083,-6.2500668,-11.07911,-3.3820229,7.519438,-6.8446517,6.376692,-2.4287508,-4.081034,-0.16555169,-0.9966619,-3.9239104,-9.518388,-4.8098154,-2.8403676,-4.965398,0.3610893,1896.6945234522998,2463.4613137841748,3063.663563829787,0.04654082169769504,0.028331297,REAL,20.0,23.0,biden-original.wav
-326.43152,174.53238,-43.74395,-4.470637,-15.782019,5.3932886,-14.60718,-6.2356987,1.2740264,-10.481963,2.4155104,-4.628522,-2.429697,-8.391638,-6.70493,-7.9510646,-10.84834,-4.6345863,-3.9997914,-4.836161,0.33548972,2022.157250462516,2579.510481073218,3440.0764627659573,0.046088901817375884,0.04093819,REAL,22.5,25.5,biden-original.wav
-312.55667,185.56699,-45.75129,-11.326788,-26.998075,3.31727,-13.1892605,-1.7406296,-1.2932545,-18.567163,-0.7906356,-4.6125946,-0.867148,-8.686199,-2.9694014,-4.11458,-12.276062,-7.9149094,-3.9226503,-4.434985,0.34380472,1827.0216901427177,2358.49565881092,2890.126329787234,0.04420157358156029,0.048574712,REAL,25.0,28.0,biden-original.wav
-301.44415,184.29184,-52.461296,-2.152088,-30.736862,-4.8797398,-12.538971,-7.691028,-1.5113437,-9.674266,1.2076949,-7.1715393,-0.29839677,-6.596064,-0.32748398,-1.5556247,-10.320593,-5.6202416,-6.28493,-5.032578,0.34494516,1967.1377696130824,2323.9412946040406,3225.980718085106,0.04776845079787234,0.04730043,REAL,27.5,30.5,biden-original.wav
-298.6558,189.40523,-51.645836,9.001892,-27.973436,4.2724986,-12.264315,-7.224867,-1.9804281,-19.38015,-0.9102774,-6.1642585,-1.2962277,-7.3027415,-4.2585487,-4.2460737,-9.60789,-7.620562,-4.6647153,-6.123324,0.36471838,2007.3964183284845,2268.6037469186303,3178.440824468085,0.05184958167109929,0.054299265,REAL,30.0,33.0,biden-original.wav
-285.966,188.48532,-68.39074,-13.026358,-31.29209,-7.5176163,-22.369072,-7.19013,2.768274,-5.8645616,13.037867,1.0177654,2.689069,-4.348669,1.493822,3.8353245,-3.3035858,-3.9410746,-7.54917,-1.3581342,0.39841664,1934.4791250772014,2215.999210925283,3048.869680851064,0.049425490359042555,0.040547952,REAL,32.5,35.5,biden-original.wav
-346.111,169.04494,-39.80353,-5.730565,-17.171288,-1.2614523,-10.45864,-5.0536675,0.31602943,-6.6410685,0.89172083,-8.795044,-1.8559119,-1.3788575,2.3879595,4.03558,-3.440222,-5.135275,-6.3609715,-6.165038,0.3730072,2122.8466689126776,2713.527857824666,3487.4501329787236,0.04968867741578014,0.031479012,REAL,35.0,38.0,biden-original.wav
-335.16852,169.95566,-41.15462,-0.08067289,-15.849649,2.210799,-9.363392,-10.491282,-0.57115835,-5.7019444,1.1824429,-7.391217,-5.7645783,-9.764205,-6.388736,-2.4354525,-2.9108286,0.23638992,-2.3518767,-6.4317083,0.33925974,2083.3771440719584,2537.094867611968,3325.216090425532,0.052526595744680854,0.03798977,REAL,37.5,40.5,biden-original.wav
-309.1907,179.93427,-57.975227,-13.024611,-19.68847,-0.7490213,-12.653972,-10.968144,-3.742604,-15.777721,1.5557904,0.035626784,-3.0430322,-6.8521204,-3.3606749,0.6252477,-5.3133183,-5.706048,-4.219241,-7.2405868,0.3546828,1942.507219832528,2261.04979522381,3099.152260638298,0.049254072473404256,0.04748302,REAL,40.0,43.0,biden-original.wav
-340.99292,180.5515,-38.988075,-9.62546,-6.272588,15.150378,-7.3954663,-13.208953,-12.857821,-17.865656,1.5652962,-3.4122813,-4.231073,-7.484684,-4.7558193,-0.7957286,-1.9705583,-3.4541676,-5.8850145,-7.430633,0.3761099,1858.786933418787,2425.2653917458574,2854.8038563829787,0.04506558898492908,0.041862346,REAL,42.5,45.5,biden-original.wav
-383.36508,176.91074,-21.699783,-13.640982,2.9760282,14.974746,-4.2994,-10.652571,-11.294767,-12.200251,0.35769567,-3.5658987,-3.505689,-3.2340174,-0.7126287,0.132665,-2.0717638,-3.9671302,-5.694083,-5.5180087,0.3963208,1811.855618388395,2740.610220026646,2796.459441489362,0.040002701130319146,0.025929874,REAL,45.0,48.0,biden-original.wav
-383.76456,178.28485,-15.408027,-13.243005,-12.635754,7.631095,-12.922835,-11.36237,-5.2026005,-12.300091,-2.4837782,-6.0191054,-0.062027734,-2.6407552,-2.2523592,1.8879174,-4.3905444,-9.023278,-4.997643,-6.6178417,0.34798503,1735.09103618758,2596.9350602296636,2461.8517287234044,0.04220689273049645,0.03917731,REAL,47.5,50.5,biden-original.wav
-354.14407,180.71358,-22.94978,-0.19283906,-14.243437,5.1134424,-16.805239,-10.643455,-0.8276485,-10.0757065,-2.196876,-11.590695,-5.356915,-7.420489,-3.052453,-0.64096916,-9.315573,-8.910997,-3.572299,-5.4604726,0.3130743,1705.8582315100853,2539.8504524995888,2625.581781914894,0.03542463153812057,0.046400495,REAL,50.0,53.0,biden-original.wav
