mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,chroma_mean,spectral_centroid,spectral_bandwidth,spectral_rolloff,zero_crossing_rate,rms_energy,type,interval_start,interval_end,file_name
-586.6406,21.626293,-4.029805,9.635009,-5.1788692,-6.35917,-8.195907,-1.9635745,-3.4315188,-3.3296907,-1.3321747,-3.1134725,-1.5333844,-2.089673,-2.898749,-1.7044277,-1.4355373,-1.7470345,-1.5305573,-2.2837286,0.19336377,2253.715355247729,1551.4750320966511,3925.78125,0.05720786236702128,0.015443445,FAKE_REDUCED,0.0,3.0,Obama-to-Biden.wav
-510.42102,78.20951,-4.191427,8.140303,1.5871826,8.169735,-11.306522,-20.92795,-29.34761,-17.886045,-6.457106,-12.579104,-8.268255,-4.902564,-8.957291,-6.3466473,-2.327743,-4.600373,-5.4588294,-7.68199,0.2225689,1884.947185192967,1822.0384705078532,3248.3377659574467,0.04686045545212766,0.035314027,FAKE_REDUCED,2.5,5.5,Obama-to-Biden.wav
-548.9161,75.15069,-0.9966381,-4.3350673,-13.937493,-13.583692,-9.116335,-7.3708663,-18.089478,-11.349381,-10.129204,-9.14256,-1.5418373,-3.4237921,-2.4393919,-2.8557436,-3.4799623,-4.736503,-4.009689,-4.086943,0.2646828,2142.417706784418,2274.03040634726,3607.380319148936,0.045985704787234044,0.021410147,FAKE_REDUCED,5.0,8.0,Obama-to-Biden.wav
-606.882,47.860905,-4.97003,13.817496,2.823955,3.957232,-9.321507,-9.174119,-18.123516,-6.2596774,-5.023315,-10.004381,-3.5403585,-3.9600685,-3.6295474,-3.6477015,-2.700974,-2.9253864,-0.32018057,-4.573097,0.36553687,3944.2203958860973,3213.8454093465116,6874.168882978724,0.07813954454787234,0.012483791,FAKE_REDUCED,7.5,10.5,Obama-to-Biden.wav
-599.39514,11.081116,-12.019453,7.3040895,-4.0252957,-2.1075375,-4.76268,-0.19590215,-7.2031326,1.9448384,-0.5747565,-1.9677461,1.9008014,-1.8623976,-0.87088084,-1.3488712,0.0475355,-2.3279972,-0.2229563,-1.492401,0.30030328,4937.648526893572,2945.018521877981,8214.594414893618,0.10193234707446809,0.009481978,FAKE_REDUCED,10.0,13.0,Obama-to-Biden.wav
-555.2744,59.352627,9.552677,19.62289,11.102659,5.8127375,-9.701036,-5.064714,-9.849595,-11.748363,-6.227895,-11.826348,-9.103718,-3.9082007,-7.091575,-6.9185677,-3.174834,-3.665356,-4.8919725,-6.0563173,0.24841101,2009.5916862052677,1777.7501506336187,3082.779255319149,0.061610704787234044,0.02191207,FAKE_REDUCED,12.5,15.5,Obama-to-Biden.wav
-602.67816,32.052963,8.664177,2.640091,-13.305968,-9.830576,-8.889091,2.4189014,6.724603,0.7540387,-0.31740567,-1.0843836,-2.5651815,-4.6367173,-4.730003,-2.3205736,0.20286083,-0.43438715,-2.12874,-3.3396773,0.20732184,1404.3769095758298,1620.855983442226,2220.5784574468084,0.03795295877659575,0.008515642,FAKE_REDUCED,15.0,18.0,Obama-to-Biden.wav
-769.26013,98.66102,-98.74912,-92.99594,-29.316334,-26.910229,-8.318799,24.42509,20.185225,3.2853417,11.191289,9.492358,-1.6649271,-0.30362043,2.1614845,-4.616411,-0.71918774,2.2169313,-5.054964,-4.060549,0.31908774,2209.5864336890154,2521.241704049243,2821.3929521276596,0.0745366522606383,0.0011199218,FAKE_REDUCED,17.5,20.5,Obama-to-Biden.wav
-609.4024,25.642271,-0.59024554,0.066446766,-13.342348,-13.121262,-5.637463,5.8663554,6.324836,-0.16351604,-3.709571,-2.4669833,-1.8692328,-1.9472272,-2.1855311,-3.5891914,-1.9013172,-2.4615831,-2.305881,-0.93545574,0.14257106,1243.146068398259,1319.1839102949184,2088.0152925531916,0.026554188829787235,0.009070535,FAKE_REDUCED,20.0,23.0,Obama-to-Biden.wav
-511.46344,63.40744,2.6637921,17.474121,0.51207715,-0.51836354,-14.977828,-9.587238,-12.356391,-12.974098,-8.409601,-10.355642,-6.925995,-4.536097,-7.019594,-6.3326254,-1.6171844,-3.73068,-4.085525,-6.521102,0.25102374,1814.6008489164326,1672.8133681041247,2864.69414893617,0.052254404920212764,0.033405874,FAKE_REDUCED,22.5,25.5,Obama-to-Biden.wav
