mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,chroma_mean,spectral_centroid,spectral_bandwidth,spectral_rolloff,zero_crossing_rate,rms_energy,type,interval_start,interval_end,file_name
-625.6106,83.543564,-16.001863,-4.2988195,-15.863988,-12.977206,-14.817285,-3.4252458,-5.211965,-6.4702682,1.8205818,-0.5857776,0.048614338,-5.1462636,-1.7409121,-2.859694,-4.870453,-6.8813453,-5.0256615,-0.8424733,0.2978368,3020.9376766618707,2492.6389322895484,4786.153590425532,0.0856466090425532,0.008878369,REAL_REDUCED,0.0,3.0,biden-original.wav
-627.53033,113.74753,-66.68192,-69.24743,-39.523907,-37.189087,-26.720459,1.8889537,9.882953,5.377612,8.939708,8.860134,5.6198874,4.9295874,8.892159,3.5515075,-5.0196505,-9.216096,-8.15152,-1.4276667,0.32329926,2110.704127908388,2302.809229550563,3158.992686170213,0.063720703125,0.004472905,REAL_REDUCED,2.5,5.5,biden-original.wav
-603.7558,100.7034,14.08521,13.251652,20.65109,21.28975,-17.670767,-15.061806,-8.68954,-17.849447,-12.699384,-7.913524,-0.6292649,-8.054504,-8.232417,-4.2078934,-7.62549,-9.3686075,-4.499729,-5.052001,0.2910946,2533.065524026078,2472.603784077427,3760.3889627659573,0.06950042941046099,0.0142073715,REAL_REDUCED,5.0,8.0,biden-original.wav
-549.62244,102.04418,-58.986626,-35.69554,-29.412567,-21.283682,-19.791967,-1.6573755,-6.0563955,-8.956352,1.1665641,0.7966088,6.000252,4.296635,6.735105,-2.9818912,-4.968719,-3.6574807,-4.35957,-2.4543748,0.3518243,2337.340291375757,1891.3834464218153,3392.121010638298,0.07453041888297872,0.013300297,REAL_REDUCED,7.5,10.5,biden-original.wav
-535.9808,132.73933,-74.73004,-50.56285,-27.488493,-25.894846,-39.17956,-6.793095,1.3770722,0.63116217,9.135759,4.7915254,3.672546,-4.20781,6.612866,1.9738858,-2.449396,-3.1845996,-6.0061736,-2.1415114,0.3416196,2231.309023990162,1926.5293934796227,3311.253324468085,0.07907732158687943,0.012666276,REAL_REDUCED,10.0,13.0,biden-original.wav
-617.953,107.090775,-4.865546,-12.721417,-17.758837,0.84068096,-5.2014804,3.387484,-4.4298873,-18.764763,-9.274709,-8.048211,1.6685785,-0.58256793,-8.873442,-12.413269,-12.019649,-5.486936,-0.8623157,-1.2008134,0.2770623,2377.871576507775,2363.1865518820237,3699.21875,0.0628497617464539,0.012111375,REAL_REDUCED,12.5,15.5,biden-original.wav
-609.23737,96.36809,-12.062026,-26.240938,-27.33512,-2.151725,0.8518971,5.1206822,-11.051456,-20.868307,-7.4396152,-6.5428543,-1.3354464,4.797495,8.904844,-6.3981586,-18.11867,-8.863219,-0.15541326,-2.4840617,0.24364343,2442.3669962585436,2431.706022540168,3738.1981382978724,0.07200070644946809,0.010403096,REAL_REDUCED,15.0,18.0,biden-original.wav
-533.00934,125.43115,-3.3524742,4.0656486,-7.6535654,15.349624,-2.5268145,-5.9026484,-19.385403,-29.925789,-9.863782,-5.771275,-6.987506,-12.787399,-3.3524268,-12.388696,-16.209854,-3.643049,-0.62775135,-4.106395,0.3013484,2375.6921997974505,2118.935330934309,3770.029920212766,0.06991598792109929,0.019876707,REAL_REDUCED,17.5,20.5,biden-original.wav
-625.28955,65.91097,-6.546818,-18.264715,-20.381805,-11.558566,-8.150066,6.5958247,7.1332774,-2.5724862,2.013281,-1.1722525,-5.8962636,-2.4201646,2.789173,-0.87940925,-5.5790176,-2.7540267,-1.0581448,-6.688786,0.22528969,4012.0541606946877,3848.837589524115,6842.586436170212,0.09119431515957446,0.008074711,REAL_REDUCED,20.0,23.0,biden-original.wav
-601.95306,74.239365,-15.7445965,3.45946,4.083423,6.742326,-18.92171,-11.960685,-3.967902,-8.239064,1.2990984,-1.4983228,-4.827268,-10.925011,-8.111429,-6.899257,-6.44986,-4.1733346,-4.1209006,-4.520764,0.24897201,3392.2860469241464,3003.3234330774912,5754.820478723404,0.07806266622340426,0.011642736,REAL_REDUCED,22.5,25.5,biden-original.wav
-592.39386,95.29766,-6.515917,-14.189052,-17.647924,-3.5660007,-9.920293,-1.5535235,-8.255172,-20.941664,-5.460128,3.27633,1.0658506,-7.623995,-4.282676,-3.9980924,-8.992902,-9.619601,-3.2322495,-0.85658824,0.25226727,2368.5147702589934,2432.2847315946137,3719.6642287234044,0.06124812998670213,0.011690801,REAL_REDUCED,25.0,28.0,biden-original.wav
-572.6898,95.227646,-7.9266195,-3.5938098,-19.72702,-12.229008,-18.255913,-11.1887865,-5.0435233,-5.818175,-5.706813,-9.829721,-3.1207569,-1.2207395,6.4250035,1.2298812,-8.507449,-8.53347,-4.8765163,-3.0079532,0.28804883,2514.0960898303383,2650.1618502433907,4028.341090425532,0.06718022772606383,0.012369975,REAL_REDUCED,27.5,30.5,biden-original.wav
-550.04895,125.25053,-3.40885,4.781614,-8.741281,6.6386538,-3.0171473,-7.2060337,-11.925411,-24.031898,-15.286306,-6.9694715,-1.4269876,1.2332244,7.1746902,-4.582758,-13.769116,-9.963457,-3.3657057,-5.903869,0.31047654,2072.6874328889917,1879.6536643130046,3115.5252659574467,0.06609977559840426,0.017590852,REAL_REDUCED,30.0,33.0,biden-original.wav
-619.1379,92.63796,-40.695312,-51.574257,-20.892641,-20.322155,-29.95965,-3.5304601,14.911268,13.015634,17.026058,14.765026,4.6979046,0.25939476,7.924156,7.4624214,-4.2639403,-11.856768,-6.955317,0.17090146,0.2816328,2449.265606033636,2668.1250989756772,3824.800531914894,0.07062763187056738,0.004859214,REAL_REDUCED,32.5,35.5,biden-original.wav
-645.98346,46.00721,-0.9724237,8.128508,-8.668932,-0.9264955,-6.545744,-2.389138,-3.7900455,-9.068085,-9.296102,-11.961147,-1.3812866,2.148211,5.8534756,1.2576041,-3.4989307,-3.9688168,-4.7773314,-3.267891,0.19749124,2321.210539708042,2011.8469904368612,4112.699468085107,0.04785502548758865,0.007941706,REAL_REDUCED,35.0,38.0,biden-original.wav
-600.61426,73.795616,-6.6690483,6.0513453,-5.8478527,-0.5321426,-11.095841,-3.7790596,0.43195143,-4.989896,-3.0486345,-7.3009615,-5.4816074,-7.8551416,-4.322812,-5.517662,-4.862053,-1.4424261,-1.8037122,-4.370854,0.2795848,2849.8280936430247,2832.791689820354,5234.04255319149,0.06025944703014184,0.012326205,REAL_REDUCED,37.5,40.5,biden-original.wav
-556.4138,120.917595,-24.440557,-33.221355,-24.957962,-22.39754,-27.98809,-4.7152724,3.9171083,-7.1014533,0.30063322,5.1722064,-0.7787943,-5.3427477,4.1794243,2.7949412,-7.020012,-9.164319,-4.174694,-4.691801,0.2874198,2082.8295973200757,2212.085078082099,3318.816489361702,0.06162386414007092,0.014421899,REAL_REDUCED,40.0,43.0,biden-original.wav
-614.192,84.495224,-9.807353,-0.5543421,13.016984,28.532331,-1.2282239,-17.265766,-21.735323,-20.93261,-3.7137434,-2.801355,-7.9978147,-11.76471,-3.4037948,0.7197328,-1.4480984,-4.36722,-5.4131804,-5.0332527,0.24852142,1736.941186719785,1868.4177245755939,3011.136968085106,0.04128920101950355,0.012866091,REAL_REDUCED,42.5,45.5,biden-original.wav
-659.3691,53.783833,0.604664,2.3545747,8.096358,18.464106,2.1166036,-9.400285,-10.355352,-9.292484,-4.3991137,-4.0967326,-3.8684237,-4.0273128,-0.111437425,-1.1854446,-2.4099398,-2.5743618,-3.4522264,-3.5402339,0.21688746,1934.0752355735262,2027.457225839285,3778.839760638298,0.025761164671985817,0.0075054322,REAL_REDUCED,45.0,48.0,biden-original.wav
-614.55676,77.969444,3.3155596,1.9221876,-5.5313053,3.557412,-17.035236,-13.012528,-5.544983,-9.81681,-5.7231774,-8.77033,-2.01961,-4.537613,-4.32612,0.65625674,-2.6063948,-7.0215287,-3.67386,-3.853901,0.21708702,1882.5166039328035,1921.316952929735,3363.031914893617,0.038998434729609927,0.015098141,REAL_REDUCED,47.5,50.5,biden-original.wav
-608.07965,103.53981,24.018251,6.6935167,-11.549055,-3.6939204,-14.252098,-1.6580625,2.961758,-6.765151,-9.767216,-16.181763,-7.767349,-6.12652,-1.7687691,-0.85332644,-8.0577345,-10.469871,-4.9534736,-3.148615,0.33006275,2884.402778809812,3137.5353170792605,5967.835771276596,0.03646872229609929,0.015681986,REAL_REDUCED,50.0,53.0,biden-original.wav
-599.2974,84.12875,-20.41381,-0.043528672,-19.597172,0.25908256,-4.8263927,0.4954254,-12.22877,-18.674992,-8.042141,-9.847345,-0.48446915,-4.831349,4.866652,-3.0714595,-9.344588,0.10504007,-2.2792466,-5.7870827,0.26682258,2526.375933462335,2078.717515106598,3996.592420212766,0.07055490913120567,0.012614239,REAL_REDUCED,52.5,55.5,biden-original.wav
-631.1054,58.595238,-18.24608,22.05851,12.604515,14.204232,-9.046412,-17.413315,-19.657703,-15.956247,-2.8191087,-3.7090847,-2.235075,-7.793606,-2.7417815,-2.585816,-1.6972065,-1.8543282,-6.5287075,-6.8027725,0.30633676,3188.6707525701718,2756.6579448640796,5545.46210106383,0.06800788175975177,0.010263785,REAL_REDUCED,55.0,58.0,biden-original.wav
-537.4319,127.72444,-39.735428,-43.023388,-41.25931,-10.566501,-25.944761,-12.916043,-6.0769434,-13.105083,-2.8042202,2.2405808,9.5698185,-4.559068,-2.2300718,0.12338798,-3.9699075,-7.55228,-5.143185,0.833855,0.3270667,2345.8447102352866,2166.07165660555,3870.844414893617,0.06355794270833333,0.014143474,REAL_REDUCED,57.5,60.5,biden-original.wav
-542.28784,129.9583,-85.328964,-25.318195,-46.49675,-33.892418,-43.958145,-2.1080756,7.0182242,-2.4123518,12.047728,-6.955161,5.050938,0.8504782,1.8055109,1.4749817,1.9830986,3.7921996,-6.0599117,-2.1662316,0.28184864,2620.0447485687673,2412.403785107294,4150.099734042553,0.09228342475620567,0.007861658,REAL_REDUCED,60.0,63.0,biden-original.wav
-676.4063,40.326183,-27.274036,-12.519512,-2.6651905,-8.676075,-11.105379,3.0928245,9.402524,7.24043,4.538121,-9.895071,-8.387822,0.87099665,1.6843356,-1.2776705,-6.137445,-0.10982779,4.3344717,1.2502377,0.21622795,4436.833248850578,3808.2100963508487,7719.996675531915,0.10356064383865249,0.00487279,REAL_REDUCED,62.5,65.5,biden-original.wav
-604.0075,86.87598,-5.1054616,10.187682,-1.8245062,8.543309,-4.3516393,-10.576006,-19.47881,-22.714796,-10.185782,-10.855044,-1.3536544,2.0630975,-0.19549122,-7.213969,-9.057972,-4.082317,-1.5353931,-4.58216,0.22199398,1774.0683714753977,1500.4033084992298,2890.874335106383,0.04725939162234043,0.014952009,REAL_REDUCED,65.0,68.0,biden-original.wav
-596.8753,79.69939,-20.697817,5.6665816,2.5926661,7.704647,-9.404687,-9.951622,-11.836167,-17.310059,-11.413135,-11.086961,-0.15311323,-2.2249048,-3.1865127,-2.14452,-6.6720333,-6.2709546,0.13644777,-1.8042818,0.23526253,2114.921551032201,1793.5661141701812,3612.2007978723404,0.04966443650265957,0.015927048,REAL_REDUCED,67.5,70.5,biden-original.wav
-566.6265,98.11697,-14.549361,16.658014,0.49926803,5.1186385,-11.43776,-9.2124405,-11.968413,-15.43963,-10.099839,-13.6424,0.11774872,-6.941072,-7.111433,-2.1214755,-5.586095,-7.1631017,-3.2910872,-1.8687956,0.30330715,2030.5437158210812,1927.035707039103,3273.4375,0.05460958277925532,0.017666494,REAL_REDUCED,70.0,73.0,biden-original.wav
-621.0605,86.77442,-0.57486504,-6.451519,-16.66985,-8.316975,-14.167765,-3.8345895,-4.4434223,-11.851023,-12.598909,-16.410343,-1.2426286,-2.8729181,-4.1206284,0.6070623,-3.0129113,-3.1569123,-3.0776172,-4.613253,0.24804261,2182.2421425260254,2175.7792534688556,3907.746010638298,0.04194716866134752,0.013601853,REAL_REDUCED,72.5,75.5,biden-original.wav
-599.0984,104.38035,6.34669,-12.7503805,-14.450609,-3.8855999,-7.930006,-10.951326,-9.61833,-13.095637,-12.836226,-6.6747694,-0.20291615,-4.400628,-2.0935712,1.3507297,-3.455881,-3.9759622,-3.6793356,-8.429135,0.25998518,1605.8447632166913,1896.988978115123,2714.7606382978724,0.0321936641179078,0.014539292,REAL_REDUCED,75.0,78.0,biden-original.wav
-541.8247,110.72777,-18.50339,-12.683119,-1.5086813,13.793809,-8.906102,-17.610369,-16.06715,-18.363838,-8.8677845,-5.3967347,-1.419763,-7.127087,-4.838786,3.119938,-3.5041282,-12.552385,-5.977018,-4.0473056,0.28456366,2205.8942529812693,1942.7475018715143,3211.2699468085107,0.06936017841312057,0.017226283,REAL_REDUCED,77.5,80.5,biden-original.wav
